ruleId,sourceFile,ruleClass,cwes,iso5055Measures,mappingStrength,analyserAdoptable,nativeEvaluability
SVC-01,governance/satellite-contracts.rules.json,governance,,,none,no,native-handler
SVC-02,governance/satellite-contracts.rules.json,governance,,,none,no,native-handler
SVC-03,governance/satellite-contracts.rules.json,governance,,,none,no,native-handler
SVC-04,governance/satellite-contracts.rules.json,governance,,,none,no,native-handler
SVC-05,governance/satellite-contracts.rules.json,governance,,,none,no,native-handler
SVC-06,governance/satellite-contracts.rules.json,governance,,,none,no,native-handler
INFRA-001,infrastructure/helm-enforcement.rules.json,deployment,,,none,no,not-in-snapshot
INFRA-OPA-001,infrastructure/opa-sidecar-bundle.rules.json,deployment,,,none,no,not-in-snapshot
MCP-01,mcp/protocol-compliance.rules.json,platform-surface,,,none,no,native-handler
MCP-02,mcp/protocol-compliance.rules.json,platform-surface,,,none,no,native-handler
MCP-03,mcp/protocol-compliance.rules.json,platform-surface,,,none,no,native-handler
MCP-04,mcp/protocol-compliance.rules.json,platform-surface,,,none,no,native-handler
MCP-05,mcp/protocol-compliance.rules.json,platform-surface,,,none,no,native-handler
OBS-EVD-01,observability/telemetry-evidence.rules.json,operations,,,none,no,needs-runtime
OBS-EVD-02,observability/telemetry-evidence.rules.json,operations,,,none,no,needs-runtime
OBS-EVD-03,observability/telemetry-evidence.rules.json,operations,,,none,no,needs-external-system
OBS-EVD-04,observability/telemetry-evidence.rules.json,operations,,,none,no,unimplemented-native
DEP-01,sdlc/dependency-pinning.rules.json,supply-chain,,,none,yes,native-handler
DEP-02,sdlc/dependency-pinning.rules.json,supply-chain,,,none,yes,native-handler
DEP-03,sdlc/dependency-pinning.rules.json,supply-chain,,,none,yes,native-handler
DEP-04,sdlc/dependency-pinning.rules.json,supply-chain,,,none,yes,native-handler
DEP-05,sdlc/dependency-pinning.rules.json,supply-chain,,,none,no,native-handler
DEP-06,sdlc/dependency-pinning.rules.json,supply-chain,,,none,yes,native-handler
DEP-07,sdlc/dependency-pinning.rules.json,supply-chain,,,none,yes,native-handler
DEP-08,sdlc/dependency-pinning.rules.json,supply-chain,,,none,no,native-handler
DEP-09,sdlc/dependency-pinning.rules.json,supply-chain,,,none,yes,native-handler
DEP-10,sdlc/dependency-pinning.rules.json,supply-chain,,,none,no,native-handler
QT-01,sdlc/quality-thresholds.rules.json,code-hygiene,,,none,yes,native-handler
QT-02,sdlc/quality-thresholds.rules.json,code-hygiene,CWE-1121,Maintainability,direct,yes,native-handler
QT-03,sdlc/quality-thresholds.rules.json,code-hygiene,CWE-22 CWE-78 CWE-89 CWE-79 CWE-798 CWE-732,Security,partial,yes,native-handler
QT-04,sdlc/quality-thresholds.rules.json,code-hygiene,,,none,yes,native-handler
QT-05,sdlc/quality-thresholds.rules.json,code-hygiene,,,none,no,native-handler
QT-06,sdlc/quality-thresholds.rules.json,code-hygiene,,,none,no,native-handler
QT-07,sdlc/quality-thresholds.rules.json,code-hygiene,,,none,no,native-handler
QT-08,sdlc/quality-thresholds.rules.json,code-hygiene,,,none,partial,native-handler
SEC-INJ-01,security/injection-prevention.rules.json,code-structure,CWE-78 CWE-77,Security,direct,yes,unimplemented-native
SEC-INJ-02,security/injection-prevention.rules.json,code-structure,CWE-77 CWE-88,Security,partial,partial,unimplemented-native
SEC-PATH-01,security/path-containment.rules.json,code-structure,CWE-22 CWE-23 CWE-36,Security,direct,yes,unimplemented-native
SEC-PATH-02,security/path-containment.rules.json,code-structure,CWE-22,Security,direct,yes,unimplemented-native
SEC-RL-01,security/rate-limiting.rules.json,code-structure,,,none,partial,native-handler
SEC-RL-02,security/rate-limiting.rules.json,code-structure,CWE-789,Security,partial,partial,native-handler
SEC-RL-03,security/rate-limiting.rules.json,code-structure,,,none,no,unimplemented-native
SEC-TIMING-01,security/timing-safe-comparison.rules.json,code-structure,,,none,yes,unimplemented-native
SEC-TIMING-02,security/timing-safe-comparison.rules.json,code-structure,,,none,partial,unimplemented-native
ISO5055-MAINT,standards/iso-5055.rules.json,international-standard,,,none,yes,unimplemented-native
ISO5055-PERF,standards/iso-5055.rules.json,international-standard,,,none,yes,unimplemented-native
ISO5055-REL,standards/iso-5055.rules.json,international-standard,,,none,yes,unimplemented-native
ISO5055-SEC,standards/iso-5055.rules.json,international-standard,,,none,yes,unimplemented-native
SLSA-AUTH-L2,standards/slsa-v1.rules.json,international-standard,,,none,no,native-handler
SLSA-BUILD-L1,standards/slsa-v1.rules.json,international-standard,,,none,no,native-handler
SLSA-HOSTED-L2,standards/slsa-v1.rules.json,international-standard,,,none,no,native-handler
SLSA-PROV-L1,standards/slsa-v1.rules.json,international-standard,,,none,no,native-handler
SSDF-PO.3.1,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
SSDF-PS.3.2,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
SSDF-PW.4.1,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
SSDF-PW.4.4,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
SSDF-PW.6.1,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
SSDF-PW.7.2,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
SSDF-RV.1.2,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
SSDF-RV.1.3,standards/ssdf-v1.1.rules.json,international-standard,,,none,no,native-handler
AAI-R01,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R02,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R03,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R04,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R05,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R06,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R07,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R08,topologies/agentic-ai/agentic-ai.rules.json,topology,,,none,no,native-handler
AAI-R09,topologies/agentic-ai/agentic-ai.rules.json,topology,CWE-798,Security,partial,partial,native-handler
DAM-R01,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,native-handler
DAM-R02,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,native-handler
DAM-R03,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,native-handler
DAM-R04,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,needs-external-system
DAM-R05,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,native-handler
DAM-R06,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,needs-external-system
DAM-R07,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,native-handler
DAM-R08,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,unimplemented-native
DAM-R09,topologies/data-mesh/data-mesh.rules.json,topology,,,none,no,needs-external-system
EC-R01,topologies/edge-computing/edge-computing.rules.json,topology,,,none,no,native-handler
EC-R02,topologies/edge-computing/edge-computing.rules.json,topology,,,none,no,native-handler
EC-R03,topologies/edge-computing/edge-computing.rules.json,topology,,,none,no,native-handler
EC-SEC-01,topologies/edge-computing/edge-computing.rules.json,topology,,,none,no,underspecified
EC-SEC-02,topologies/edge-computing/edge-computing.rules.json,topology,,,none,no,underspecified
ED-R01,topologies/event-driven/event-driven.rules.json,topology,,,none,no,native-handler
ED-R02,topologies/event-driven/event-driven.rules.json,topology,,,none,no,native-handler
ED-R03,topologies/event-driven/event-driven.rules.json,topology,,,none,no,native-handler
ED-R04,topologies/event-driven/event-driven.rules.json,topology,,,none,no,native-handler
ED-R05,topologies/event-driven/event-driven.rules.json,topology,,,none,no,native-handler
ED-R06,topologies/event-driven/event-driven.rules.json,topology,,,none,no,native-handler
ED-R07,topologies/event-driven/event-driven.rules.json,topology,,,none,no,unimplemented-native
ED-R08,topologies/event-driven/event-driven.rules.json,topology,,,none,no,native-handler
ED-R09,topologies/event-driven/event-driven.rules.json,topology,,,none,no,unimplemented-native
DM-R01,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,native-handler
DM-R02,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,native-handler
DM-R03,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,native-handler
DM-R04,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,native-handler
DM-R05,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,native-handler
DM-R06,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,unimplemented-native
DM-R07,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,unimplemented-native
DM-R08,topologies/progressive-axis/distributed-modules/distributed-modules.rules.json,topology,,,none,no,native-handler
MS-R01,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,unimplemented-native
MS-R02,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,needs-external-system
MS-R03,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,needs-runtime
MS-R04,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,needs-runtime
MS-R05,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,unimplemented-native
MS-R06,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,unimplemented-native
MS-R07,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,native-handler
MS-R08,topologies/progressive-axis/microservices/microservices.rules.json,topology,,,none,no,needs-external-system
MM-R01,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R02,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R03,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R04,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R05,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R06,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R07,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R08,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R09,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,CWE-1047,Maintainability,partial,yes,native-handler
MM-R10,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,yes,native-handler
MM-R11,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,,,none,no,native-handler
MM-R12,topologies/progressive-axis/modular-monolith/modular-monolith.rules.json,topology,CWE-1090,Maintainability,partial,partial,native-handler
SV-R01,topologies/serverless/serverless.rules.json,topology,,,none,no,native-handler
SV-R02,topologies/serverless/serverless.rules.json,topology,CWE-1042,Performance Efficiency,partial,partial,native-handler
SV-R03,topologies/serverless/serverless.rules.json,topology,,,none,no,native-handler
SV-R04,topologies/serverless/serverless.rules.json,topology,,,none,no,native-handler
SV-SEC-01,topologies/serverless/serverless.rules.json,topology,,,none,no,underspecified
SV-SEC-02,topologies/serverless/serverless.rules.json,topology,,,none,no,underspecified
